day,daily_sales
1,549.31
2,458.91
3,1560.37
4,1785.64
5,856.93
6,1008.15
7,1271.29
8,1203.85
9,1050.95
10,1714.38
11,2266.01
12,2306.72
13,1863.5
14,1835.94
15,1371.23
16,1378.48
17,2203.17
18,2104.61
19,2741.2
20,1811.38
21,2396.83
22,1580.03
23,1728.8
24,2207.51
25,3584.79
26,2656.65
27,2192.57
28,1731.83
29,3020.03
30,3066.35
31,2673.41
32,3214.75
33,4240.88
34,3252.05
35,3125.05
36,3889.28
37,2151.7
38,2892.16
39,4812.45
40,4801.21
41,3821.04
42,3285.29
43,3347.23
44,3439.8
45,3647.87
46,4682.99
47,5849.75
48,3934.7
49,3768.58
50,3724.31
51,4655.53
52,4984.55
53,5323.41
54,5402.69
55,3644.37
56,3446.83
57,3856.14
58,4558.76
59,4429.13
60,6140.73
61,5168.21
62,5205.03
63,4732.76
64,4031.51
65,6264.48
66,6651.03
67,8409.25
68,7700.32
69,7974.07
70,5180.57
71,6596.45
72,6274.39
73,6713.22
74,8755.18
75,9517.42
76,7223.1
77,6713.56
78,6767.04
79,6639.56
80,7204.01
81,8616.82
82,10023.21
83,6839.05
84,7081.04
85,7179.75
86,7042.68
87,9261.92
88,8565.33
89,9233.24
90,7314.57
91,8588.05
92,7715.69
93,8153.73
94,8293.09
95,11283.67
96,11526.36
97,8674.07
98,7200.62
99,9936.2
100,8961.47
101,11841.79
102,13081.59
103,14565.55
104,11101.36
105,11532.63
106,10231.61
107,10261.81
108,9831.54
109,12001.2
110,14174.86
111,9911.75
112,8888.67
113,11677.19
114,12013.45
115,10823.09
116,12145.52
117,14096.68
118,10278.07
119,9439.26
120,9677.25
121,9112.85
122,11073.88
123,11828.34
124,14558.53
125,10493.2
126,8154.52
127,8879.48
128,9900.76
129,9131.54
130,12707.84
131,13269.54
132,11961.96
133,11226.29
134,11093.35
135,12372.44
136,10827.39
137,13522.13
138,15105.34
139,12050.39
140,11044.25
141,11382.47
142,10657.39
143,11333.54
144,12569.24
145,14225.05
146,11834.52
147,10762.1
148,9481.43
149,9117.06
150,12162.51
151,11972.37
152,13803.83
153,8743.74
154,10327.56
155,8147.01
156,9295.05
157,12410.02
158,12520.11
159,14625.86
160,11992.71
161,8707.87
162,10957.12
163,12325.07
164,13447.15
165,16651.4
166,14624.78
167,13569.66
168,12201.25
169,12390.42
170,10706.98
171,11209.78
172,12893.34
173,15955.39
174,9873.31
175,9227.65
176,9842.22
177,10238.79
178,12114.88
179,12182.25
180,15729.82
181,9940.87
182,9487.13
183,10271.82
184,10057.72
185,11776.47
186,13807.04
187,14568.02
188,9260.36
189,9288.85
190,8597.24
191,10694.43
192,11103.49
193,14772.52
194,14839.31
195,12254.48
196,13221.9
197,11247.18
198,11441.75
199,11180.37
200,13821.4
201,15859.9
202,11212.03
203,10249.52
204,8674.29
205,10906.89
206,9338.97
207,13350.9
208,16399.25
209,10110.81
210,9331.41
211,11099.3
212,10457.1
213,10297.84
214,13968.43
215,12378.99
216,9866.84
217,8622.7
218,9133.23
219,9933.73
220,9512.99
221,13266.01
222,16388.45
223,12241.19
224,10862.19
225,11081.56
226,9975.76
227,12623.61
228,13473.38
229,15538.78
230,11859.01
231,10015.12
232,11355.85
233,9691.86
234,10980.16
235,12503.9
236,15270.23
237,9890.12
238,10031.0
239,9463.63
240,9401.51
241,12635.13
242,16258.05
243,15304.39
244,14060.12
245,15192.56
246,20901.13
247,5905.22
248,7785.53
249,9930.1
250,10309.23
251,11105.16
252,10255.28
253,9272.63
254,11890.18
255,11986.38
256,17448.37
257,15366.25
258,15634.65
259,11129.41
260,13312.26
261,14476.93
262,10084.09
263,13804.83
264,12464.04
265,9854.32
266,12947.84
267,11415.31
268,9445.99
269,10635.83
270,12793.97
271,15334.18
272,12875.46
273,12533.53
274,12378.7
275,14520.57
